,userID,movieID,rating,timestamp
965,15,6,4.0,1040205753
974,15,25,3.0,1033345172
977,15,36,1.0,1033345287
991,15,110,3.0,1040205792
1017,15,214,2.0,1033345241
1022,15,230,1.0,1033345068
1024,15,232,4.0,1033345227
1025,15,233,4.0,1033344772
1062,15,377,4.0,1033344267
1082,15,500,3.0,1035258747
1088,15,535,3.0,1033345148
1095,15,555,4.0,1033344257
1113,15,663,2.0,1035258608
1118,15,720,3.0,1033345122
1129,15,785,3.0,1033344834
1139,15,851,4.0,1035258747
1155,15,922,1.0,1040205624
1163,15,1035,2.0,1034544304
1176,15,1094,4.0,1033345199
1177,15,1095,4.0,1040205624
1191,15,1179,4.0,1033344257
1197,15,1197,1.0,1040205753
1221,15,1225,4.0,1034544304
1229,15,1243,2.0,1033345172
1255,15,1287,2.0,1033345087
1258,15,1290,3.0,1035258608
1264,15,1304,3.0,1040205753
1270,15,1342,2.0,1033345050
1278,15,1387,4.0,1040205754
1295,15,1503,1.0,1035258747
1296,15,1513,2.0,1033344937
1312,15,1610,3.0,1040205754
1317,15,1635,4.0,1033345134
1324,15,1673,3.0,1033345299
1331,15,1704,4.0,1033345148
1336,15,1729,1.0,1033344286
1346,15,1784,3.0,1033345287
1368,15,1912,5.0,1033345241
1377,15,1954,3.0,1040205792
1381,15,1962,3.0,1033345068
1387,15,2003,3.0,1034544351
1389,15,2006,4.0,1035258747
1398,15,2041,2.0,1033344732
1408,15,2124,2.0,1033345050
1413,15,2145,2.0,1034544351
1420,15,2194,4.0,1040205754
1442,15,2333,3.0,1033344795
1444,15,2336,2.0,1033344772
1451,15,2366,3.0,1040205792
1452,15,2369,1.0,1033344752
1464,15,2427,3.0,1040205754
1465,15,2428,1.0,1033344782
1471,15,2490,1.0,1033344906
1473,15,2502,5.0,1033344897
1477,15,2541,1.0,1033344732
1479,15,2560,3.0,1033344917
1482,15,2572,5.0,1033344641
1483,15,2574,1.0,1033344897
1484,15,2575,3.0,1033344772
1487,15,2581,1.0,1033344897
1488,15,2585,1.0,1033344865
1492,15,2600,3.0,1033344995
1493,15,2605,1.0,1033344772
1501,15,2678,1.0,1033344752
1502,15,2683,1.0,1033344657
1505,15,2699,3.0,1033345068
1506,15,2700,3.0,1033344958
1509,15,2706,3.0,1033344657
