,userID,movieID,rating,timestamp
1059,15,371,2.0,1443385370
1085,15,520,3.5,1443384915
1192,15,1183,2.0,1443384910
1294,15,1502,1.5,1425876701
1462,15,2413,4.5,1425875796
1683,15,3728,4.0,1443385280
1726,15,3968,2.5,1425876021
1745,15,4007,3.5,1426110367
1871,15,4992,1.5,1425876112
1874,15,5000,3.5,1443385401
1947,15,5620,0.5,1425876082
1969,15,5959,3.0,1443385275
1988,15,6287,0.5,1425876025
2019,15,6754,0.5,1425876028
2051,15,7034,4.5,1443384409
2075,15,7444,1.0,1425876074
2168,15,37741,2.5,1425876066
2186,15,45447,1.0,1425876007
2213,15,50851,3.5,1443384396
2221,15,52604,2.0,1443384826
2224,15,53322,3.5,1425876037
2225,15,53464,1.5,1443385025
2230,15,54272,1.0,1425875994
2241,15,55830,2.5,1443384839
2245,15,56775,3.0,1443385030
2247,15,57368,1.5,1425876060
2275,15,62434,3.5,1443384812
2292,15,67087,1.5,1426110601
2323,15,71535,1.0,1425876002
2346,15,78574,4.5,1443384445
2376,15,83827,4.0,1425875865
2399,15,87930,2.0,1443385461
2468,15,97913,2.5,1426110392
2472,15,98154,0.5,1425876388
2477,15,99114,1.5,1425876390
2509,15,104272,3.0,1425875562
2513,15,105504,3.5,1425875553
2514,15,106072,2.0,1443384429
2522,15,107406,4.0,1425875579
2523,15,107910,4.5,1426110023
2532,15,109487,3.5,1425875392
2535,15,109848,3.0,1425875503
2541,15,111228,2.5,1443385454
2542,15,111360,1.0,1425875482
2546,15,111622,4.5,1425875435
2548,15,111781,4.5,1443384269
2550,15,112171,2.5,1425875460
2551,15,112183,2.0,1426110071
2553,15,112552,1.5,1443384078
2554,15,112556,4.5,1425875403
2558,15,112940,1.5,1425875476
2560,15,113348,2.0,1425875488
2561,15,113378,0.5,1425875497
2562,15,113741,1.0,1425875574
2565,15,115149,4.0,1425875463
2566,15,115502,3.5,1443384500
2567,15,115569,5.0,1425875406
2568,15,115617,1.5,1425875413
2569,15,115713,3.5,1443384091
2570,15,116161,1.0,1425875458
2571,15,116797,0.5,1425875401
2573,15,116823,0.5,1425875449
2574,15,116897,4.5,1443384373
2575,15,117176,1.0,1425875426
2576,15,117529,4.0,1443384296
2577,15,117533,3.5,1443384084
2578,15,118696,1.5,1443384307
2579,15,119141,2.0,1443384336
2580,15,119145,1.5,1425875443
2581,15,120466,1.5,1443384294
2582,15,120799,3.0,1443384317
2585,15,122882,1.0,1443384389
2588,15,122892,3.0,1443384000
2589,15,122900,3.0,1443384283
2590,15,122902,0.5,1443384352
2594,15,127136,1.0,1443385387
2596,15,129937,1.5,1443384322
2601,15,131013,3.0,1443384337
2604,15,132796,3.0,1443384330
2607,15,134368,4.5,1443384275
2619,15,138036,1.0,1443384531
2627,15,140711,2.5,1443384516
6737,38,49530,4.0,1449693140
6739,38,55247,3.5,1449693163
6743,38,64614,4.5,1449693148
6767,38,134130,4.5,1445451791
7379,48,111,3.0,1439687078
7404,48,924,4.5,1425959805
7483,48,4902,3.5,1425960044
7552,48,27660,3.5,1425960095
7632,48,53519,3.0,1428727629
7742,48,74228,3.5,1428726464
7838,48,102125,2.5,1428726967
7858,48,109487,3.5,1425960344
7862,48,109848,2.5,1428726440
7877,48,112515,2.5,1428726233
7878,48,112623,3.5,1425960080
7881,48,114180,2.5,1428726245
7882,48,114935,3.0,1428726219
7883,48,115149,2.5,1428727019
7884,48,115534,2.0,1428726405
7885,48,115617,3.0,1428726202
7887,48,118696,2.5,1428726241
9364,62,260,4.0,1451176940
9365,62,318,3.5,1451359418
9366,62,1196,5.0,1451176947
9367,62,1210,4.0,1451359247
9368,62,1270,4.5,1451359277
9369,62,2028,4.5,1451359280
9371,62,2959,5.0,1451359348
9372,62,4226,4.0,1451359336
9373,62,5418,4.0,1449594307
9375,62,8665,4.5,1449594323
9378,62,54286,4.0,1449594346
9394,62,104374,5.0,1451178637
9403,62,114662,3.0,1451178678
9404,62,115149,3.0,1451406848
9406,62,115713,4.0,1449594073
9409,62,122882,5.0,1448760334
9411,62,134130,5.0,1451407005
